feature_order,paper_feature,feature_family,family_label,paper_feature_set,output_level,sentiment_related,notes
45,turn_to_turn_tangeniality_slope,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained
46,semantic_perplexity_mean,semantic_perplexity,Semantic predictability,paper_82,summary,False,
47,semantic_perplexity_var,semantic_perplexity,Semantic predictability,paper_82,summary,False,
48,num_interrupts,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
49,first_person_sentiment_positive_vader,first_person,First-person style and affect,paper_82,summary,True,
50,first_person_sentiment_negative_vader,first_person,First-person style and affect,paper_82,summary,True,
51,first_person_sentiment_overall_vader,first_person,First-person style and affect,paper_82,summary,True,
52,turn_to_previous_speaker_turn_similarity_mean,coherence,Discourse coherence / similarity,paper_82,summary,False,
53,turn_to_previous_speaker_turn_similarity_var,coherence,Discourse coherence / similarity,paper_82,summary,False,
54,turn_to_previous_speaker_turn_similarity_slope,coherence,Discourse coherence / similarity,paper_82,summary,False,
55,vader_hist_bin_01,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
56,vader_hist_bin_02,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
57,vader_hist_bin_03,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
58,vader_hist_bin_04,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
59,vader_hist_bin_05,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
60,vader_hist_bin_06,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
61,vader_hist_bin_07,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
62,vader_hist_bin_08,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
63,vader_hist_bin_09,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
64,vader_hist_bin_10,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
65,vader_hist_bin_11,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
66,vader_hist_bin_12,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
67,vader_hist_bin_13,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
68,vader_hist_bin_14,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
69,vader_hist_bin_15,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
70,vader_hist_bin_16,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
71,vader_hist_bin_17,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
72,vader_hist_bin_18,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
73,vader_hist_bin_19,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
74,vader_hist_bin_20,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
75,vader_hist_bin_21,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
76,vader_hist_bin_22,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
77,vader_hist_bin_23,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
78,vader_hist_entropy,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
79,vader_neg_tail_mass,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
80,vader_pos_tail_mass,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
81,vader_neutral_mass,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
82,participant_utterance_count,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
